ORG_TS,ORG_WORD,ORG_POS,ORG_ISSTOP,LEV_OP,TRAN_TS,TRAN_WORD,TRAN_POS,TRAN_ISSTOP,TS_DIFF
1600,mr,PROPN,False,D,,,,,
1780,stark,PROPN,False,D,,,,,
2142,hi,INTJ,False,D,,,,,
2322,there,ADV,True,D,,,,,
2767,our,DET,True,D,,,,,
2925,sources,NOUN,False,D,,,,,
3243,are,AUX,True,D,,,,,
3401,telling,VERB,False,D,,,,,
3719,us,PRON,True,D,,,,,
3838,that,SCONJ,True,D,,,,,
4036,all,DET,True,D,,,,,
4195,signs,NOUN,False,D,,,,,
4433,are,AUX,True,D,,,,,
4592,pointing,VERB,False,D,,,,,
4949,to,ADP,True,D,,,,,
5068,another,DET,True,D,,,,,
5386,mandarin,PROPN,False,D,,,,,
5743,attack,NOUN,False,D,,,,,
6646,anything,PRON,True,D,,,,,
7121,else,ADV,True,D,,,,,
7385,you,PRON,True,D,,,,,
7597,can,VERB,True,D,,,,,
7808,tell,VERB,False,D,,,,,
8072,us,PRON,True,D,,,,,
8315,hey,INTJ,False,D,,,,,
8550,mr,PROPN,False,D,,,,,
8727,stark,PROPN,False,D,,,,,
9080,when,ADV,True,D,,,,,
9374,is,AUX,True,D,,,,,
9551,somebody,PRON,False,D,,,,,
10081,gon,VERB,False,D,,,,,
10317,na,PART,False,D,,,,,
10493,kill,VERB,False,=,920,kill,VERB,False,9573
10788,this,DET,True,=,2348,this,DET,True,8440
11082,guy,NOUN,False,=,3777,guy,NOUN,False,7305
12152,i,PRON,True,D,,,,,
12269,'m,AUX,True,D,,,,,
12446,just,ADV,True,D,,,,,
12740,saying,VERB,False,=,12800,saying,VERB,False,60
16281,is,AUX,True,=,16390,is,AUX,True,109
16554,that,DET,True,=,16444,that,DET,True,110
17009,what,PRON,True,=,16535,what,PRON,True,474
17464,you,PRON,True,=,16626,you,PRON,True,838
17828,want,VERB,False,=,16699,want,VERB,False,1129
20493,here,ADV,True,=,20690,here,ADV,True,197
20738,'s,AUX,True,=,20882,'s,AUX,True,144
20885,a,DET,True,=,20997,a,DET,True,112
20983,little,ADJ,False,=,21074,little,ADJ,False,91
21327,holiday,NOUN,False,=,21342,holiday,NOUN,False,15
21720,greeting,NOUN,False,=,21650,greeting,NOUN,False,70
22245,i,PRON,True,=,21958,i,PRON,True,287
22357,'ve,AUX,True,=,22027,'ve,AUX,True,330
22582,been,AUX,True,=,22164,been,AUX,True,418
22863,wanting,VERB,False,=,22335,wanting,VERB,False,528
23313,to,PART,True,=,22610,to,PART,True,703
23482,send,VERB,False,=,22873,send,VERB,False,609
23763,to,ADP,True,=,23311,to,ADP,True,452
23932,the,DET,True,=,23574,the,DET,True,358
24157,mandarin,PROPN,False,=,23925,mandarin,PROPN,False,232
24748,i,PRON,True,=,24714,i,PRON,True,34
24849,just,ADV,True,=,24890,just,ADV,True,41
25102,did,AUX,True,=,25010,did,AUX,True,92
25304,n't,PART,True,=,25106,n't,PART,True,198
25506,know,VERB,False,=,25202,know,VERB,False,304
25759,how,ADV,True,=,25322,how,ADV,True,437
25961,to,PART,True,=,25418,to,ADP,True,543
26113,phrase,VERB,False,=,25490,phrase,VERB,False,623
26467,it,PRON,True,=,25658,it,PRON,True,809
26619,until,ADP,True,=,25730,until,ADP,True,889
26922,now,ADV,True,=,25874,now,ADV,True,1048
27834,my,DET,True,=,28030,my,DET,True,196
28020,name,NOUN,True,=,28134,name,NOUN,True,114
28331,is,AUX,True,=,28308,is,AUX,True,23
28517,tony,PROPN,False,=,28413,tony,PROPN,False,104
28828,stark,PROPN,False,=,28587,stark,PROPN,False,241
29201,and,CCONJ,True,=,28796,and,CCONJ,True,405
29449,i,PRON,True,=,28935,i,PRON,True,514
29574,'m,AUX,True,=,29005,'m,AUX,True,569
29760,not,PART,True,=,29110,not,PART,True,650
30009,afraid,ADJ,False,=,29455,afraid,ADJ,False,554
30444,of,ADP,True,=,30060,of,ADP,True,384
30630,you,PRON,True,=,30319,you,PRON,True,311
30962,i,PRON,True,=,30665,i,PRON,True,297
31110,know,VERB,False,=,30837,know,VERB,False,273
31481,you,PRON,True,=,31270,you,PRON,True,211
31778,'re,AUX,True,=,31602,'re,AUX,True,176
32076,a,DET,True,=,31934,a,DET,True,142
32224,coward,NOUN,False,=,32100,coward,NOUN,False,124
32744,so,ADV,True,=,32682,so,ADV,True,62
32967,i,PRON,True,=,32931,i,PRON,True,36
33115,'ve,AUX,True,=,33097,'ve,AUX,True,18
33412,decided,VERB,False,=,33430,decided,VERB,False,18
34841,that,SCONJ,True,=,34247,that,SCONJ,True,594
35167,you,PRON,True,=,34758,you,PRON,True,409
35428,just,ADV,True,=,35167,just,ADV,True,261
35755,died,VERB,False,=,35678,died,VERB,False,77
36081,pal,NOUN,False,=,36190,pal,PROPN,False,109
36843,i,PRON,True,=,36405,i,PRON,True,438
36957,'m,AUX,True,=,36512,'m,AUX,True,445
37128,gon,VERB,False,=,36674,gon,VERB,False,454
37356,na,PART,False,=,36889,na,PART,False,467
37527,come,VERB,False,=,37050,come,VERB,False,477
37812,get,AUX,True,=,37319,get,AUX,True,493
38040,the,DET,True,=,37534,the,DET,True,506
38268,body,NOUN,False,=,37750,body,NOUN,False,518
38845,there,PRON,True,=,38119,there,PRON,True,726
39083,'s,AUX,True,=,38562,'s,AUX,True,521
39202,no,DET,True,=,38783,no,DET,True,419
39322,politics,NOUN,False,=,39005,politics,NOUN,False,317
39679,here,ADV,True,=,39670,here,ADV,True,9
39878,it,PRON,True,=,39898,it,PRON,True,20
39997,'s,AUX,True,=,40035,'s,AUX,True,38
40117,just,ADV,True,=,40172,just,ADV,True,55
40315,good,ADJ,False,=,40401,good,ADJ,False,86
40514,old,ADJ,False,=,40630,old,ADJ,False,116
40673,fashioned,ADJ,False,=,40887,fashioned,ADJ,False,214
41071,revenge,NOUN,False,=,41530,revenge,NOUN,False,459
42015,there,PRON,True,R,42044,it,PRON,True,29
42387,'s,AUX,True,=,42237,'s,AUX,True,150
42573,no,DET,True,=,42430,no,DET,True,143
42759,pentagon,PROPN,False,=,42590,pentagon,PROPN,False,169
43318,it,PRON,True,=,43070,it,PRON,True,248
43504,'s,AUX,True,=,43230,'s,AUX,True,274
43690,just,ADV,True,=,43390,just,ADV,True,300
44001,you,PRON,True,=,43656,you,PRON,True,345
44249,and,CCONJ,True,=,43870,and,CCONJ,True,379
44497,me,PRON,True,=,44311,me,PRON,True,186
45018,and,CCONJ,True,D,,,,,
45257,on,ADP,True,=,44642,on,ADP,True,615
45436,the,DET,True,=,44973,the,DET,True,463
45675,off,ADJ,True,=,45415,off,ADJ,True,260
45914,chance,NOUN,False,=,45857,chance,NOUN,False,57
46333,you,PRON,True,R,46630,superman,PROPN,False,297
46572,'re,AUX,True,D,,,,,
46811,a,DET,True,D,,,,,
46931,man,NOUN,False,D,,,,,
47170,here,ADV,True,=,46975,here,ADV,True,195
47469,'s,AUX,True,=,47167,'s,AUX,True,302
47648,my,DET,True,=,47282,my,DET,True,366
47827,home,NOUN,False,=,47397,home,NOUN,False,430
48126,address,NOUN,False,=,47590,address,NOUN,False,536
48688,10880,NUM,False,R,48462,10,NUM,False,226
,,,,I,48790,880,NUM,False,
49794,malibu,PROPN,False,=,49924,malibu,PROPN,False,130
51085,point,PROPN,False,R,51670,265,NUM,False,585
52275,90265,NUM,False,D,,,,,
54527,i,PRON,True,=,54740,i,PRON,True,213
54649,'ll,VERB,True,=,54876,'ll,VERB,True,227
54894,leave,VERB,False,=,55148,leave,VERB,False,254
55261,the,DET,True,=,55556,the,DET,True,295
55506,door,NOUN,False,=,55828,door,NOUN,False,322
55812,unlocked,VERB,False,=,56168,unlocked,VERB,False,356
56446,that,DET,True,=,56780,that,DET,True,334
56646,'s,AUX,True,=,57196,'s,AUX,True,550
56766,what,PRON,True,=,57445,what,PRON,True,679
56966,you,PRON,True,=,57861,you,PRON,True,895
57126,wanted,VERB,False,R,58194,want,VERB,False,1068
57406,right,ADJ,False,R,58610,to,PART,True,1204
60951,bill,PROPN,False,R,58860,drink,VERB,False,2091
,,,,I,61200,tell,VERB,False,
61941,me,PRON,True,=,63700,me,PRON,True,1759
66748,i,PRON,True,=,67200,i,PRON,True,452
66884,'ve,AUX,True,=,67292,'ve,AUX,True,408
67158,compiled,VERB,False,=,67476,compiled,VERB,False,318
67773,a,DET,True,=,67892,a,DET,True,119
67909,mandarin,PROPN,False,=,67984,mandarin,NOUN,False,75
68524,database,NOUN,False,=,68400,database,NOUN,False,124
69139,for,ADP,True,R,69396,views,NOUN,False,257
69413,you,PRON,True,D,,,,,
69686,sir,NOUN,False,D,,,,,
70043,drawn,VERB,False,=,70061,drawn,VERB,False,18
70580,from,ADP,True,=,70726,from,ADP,True,146
71028,s.h.i.e.l.d.,PROPN,False,R,71280,shield,PROPN,False,252
72193,fbi,PROPN,False,=,72064,fbi,PROPN,False,129
72552,and,CCONJ,True,=,72512,and,CCONJ,True,40
72910,cia,PROPN,False,=,72960,cia,PROPN,False,50
73269,intercepts,NOUN,False,=,73408,intercepts,NOUN,False,139
74339,initiating,VERB,False,=,74880,initiating,VERB,False,541
74947,virtual,ADJ,False,=,75408,virtual,ADJ,False,461
75389,crime,NOUN,False,=,75792,crime,NOUN,False,403
75721,scene,NOUN,False,=,76080,scene,NOUN,False,359
76053,reconstruction,NOUN,False,=,76337,reconstruction,NOUN,False,284
79052,okay,INTJ,False,=,79220,okay,INTJ,False,168
79754,what,PRON,True,=,79562,what,PRON,True,192
80457,have,AUX,True,R,79904,do,AUX,True,553
81160,we,PRON,True,=,80109,we,PRON,True,1051
81582,got,VERB,False,=,80314,got,VERB,False,1268
82144,here,ADV,True,=,80588,here,ADV,True,1556
82931,the,DET,True,D,,,,,
83178,name,NOUN,True,=,83080,name,NOUN,True,98
83488,is,AUX,True,=,83524,is,AUX,True,36
83674,an,DET,True,=,83791,an,DET,True,117
83860,ancient,ADJ,False,=,84057,ancient,ADJ,False,197
84356,chinese,ADJ,False,=,84768,chinese,ADJ,False,412
84851,war,NOUN,False,=,85480,war,ADJ,False,629
85099,mantle,NOUN,False,R,85576,mental,ADJ,False,477
85533,meaning,NOUN,False,=,85744,meaning,NOUN,False,211
86028,adviser,NOUN,False,R,85936,advisor,NOUN,False,92
86524,to,ADP,True,=,86128,to,ADP,True,396
86710,the,DET,True,=,86200,the,DET,True,510
86958,king,NOUN,False,=,86620,king,PROPN,False,338
87352,south,ADJ,False,=,87145,south,PROPN,False,207
87933,american,ADJ,False,=,87775,american,PROPN,False,158
88805,insurgency,NOUN,False,=,88720,insurgency,NOUN,False,85
89871,tactics,NOUN,False,=,89844,tactics,NOUN,False,27
90730,talks,NOUN,False,R,90662,toxic,ADJ,False,68
91222,like,SCONJ,False,D,,,,,
91632,a,DET,True,=,91275,a,DET,True,357
91796,baptist,PROPN,False,=,91480,baptist,ADJ,False,316
92452,preacher,NOUN,False,=,92440,preacher,NOUN,False,12
93274,there,PRON,True,R,93520,it,PRON,True,246
93687,'s,AUX,True,=,93880,'s,AUX,True,193
93893,lots,NOUN,False,D,,,,,
94238,of,ADP,True,D,,,,,
94444,pageantry,NOUN,False,=,94240,pageantry,PROPN,False,204
